x-axis,1,2
second,Volt,Volt
-301.563E-06,,
-300.000E-06,,
-298.438E-06,,
-296.875E-06,,
-295.313E-06,,
-293.750E-06,,
-292.188E-06,,
-290.625E-06,,
-289.063E-06,,
-287.500E-06,,
-285.938E-06,,
-284.375E-06,,
-282.813E-06,,
-281.250E-06,,
-279.688E-06,,
-278.125E-06,,
-276.563E-06,,
-275.000E-06,,
-273.438E-06,,
-271.875E-06,,
-270.313E-06,,
-268.750E-06,,
-267.188E-06,,
-265.625E-06,,
-264.063E-06,,
-262.500E-06,,
-260.938E-06,,
-259.375E-06,,
-257.813E-06,,
-256.250E-06,,
-254.688E-06,,
-253.125E-06,,
-251.563E-06,,
-250.000E-06,,
-248.438E-06,,
-246.875E-06,,
-245.313E-06,,
-243.750E-06,,
-242.188E-06,,
-240.625E-06,,
-239.063E-06,,
-237.500E-06,,
-235.938E-06,,
-234.375E-06,,
-232.813E-06,,
-231.250E-06,,
-229.688E-06,,
-228.125E-06,,
-226.563E-06,,
-225.000E-06,,
-223.438E-06,,
-221.875E-06,,
-220.313E-06,,
-218.750E-06,,
-217.188E-06,,
-215.625E-06,,
-214.063E-06,,
-212.500E-06,,
-210.938E-06,,
-209.375E-06,,
-207.813E-06,,
-206.250E-06,,
-204.688E-06,,
-203.125E-06,,
-201.563E-06,,
-200.000E-06,,
-198.438E-06,,
-196.875E-06,,
-195.313E-06,,
-193.750E-06,,
-192.188E-06,,
-190.625E-06,,
-189.063E-06,,
-187.500E-06,,
-185.938E-06,,
-184.375E-06,,
-182.813E-06,,
-181.250E-06,,
-179.688E-06,,
-178.125E-06,,
-176.563E-06,,
-175.000E-06,,
-173.438E-06,,
-171.875E-06,,
-170.313E-06,,
-168.750E-06,,
-167.188E-06,,
-165.625E-06,,
-164.063E-06,,
-162.500E-06,,
-160.938E-06,,
-159.375E-06,,
-157.813E-06,,
-156.250E-06,,
-154.688E-06,,
-153.125E-06,,
-151.563E-06,,
-150.000E-06,,
-148.438E-06,,
-146.875E-06,,
-145.313E-06,,
-143.750E-06,,
-142.188E-06,,
-140.625E-06,,
-139.063E-06,,
-137.500E-06,,
-135.938E-06,,
-134.375E-06,,
-132.813E-06,,
-131.250E-06,,
-129.688E-06,,
-128.125E-06,,
-126.563E-06,,
-125.000E-06,,
-123.438E-06,,
-121.875E-06,,
-120.313E-06,,
-118.750E-06,,
-117.188E-06,,
-115.625E-06,,
-114.063E-06,,
-112.500E-06,,
-110.938E-06,,
-109.375E-06,,
-107.813E-06,,
-106.250E-06,,
-104.688E-06,,
-103.125E-06,,
-101.563E-06,,
-100.000E-06,,
-98.438E-06,,
-96.875E-06,,
-95.313E-06,,
-93.750E-06,,
-92.188E-06,,
-90.625E-06,,
-89.063E-06,,
-87.500E-06,,
-85.938E-06,,
-84.375E-06,,
-82.813E-06,,
-81.250E-06,,
-79.688E-06,,
-78.125E-06,,
-76.563E-06,,
-75.000E-06,,
-73.438E-06,,
-71.875E-06,,
-70.313E-06,,
-68.750E-06,,
-67.188E-06,,
-65.625E-06,,
-64.063E-06,,
-62.500E-06,,
-60.938E-06,,
-59.375E-06,,
-57.813E-06,,
-56.250E-06,,
-54.688E-06,,
-53.125E-06,,
-51.563E-06,,
-50.000E-06,,
-48.438E-06,,
-46.875E-06,,
-45.313E-06,,
-43.750E-06,,
-42.188E-06,,
-40.625E-06,,
-39.063E-06,,
-37.500E-06,,
-35.938E-06,,
-34.375E-06,,
-32.813E-06,,
-31.250E-06,,
-29.688E-06,,
-28.125E-06,,
-26.563E-06,,
-25.000E-06,,
-23.438E-06,,
-21.875E-06,,
-20.313E-06,,
-18.750E-06,,
-17.188E-06,,
-15.625E-06,,
-14.063E-06,,
-12.500E-06,,
-10.938E-06,,
-9.375E-06,,
-7.813E-06,,
-6.250E-06,,
-4.688E-06,,
-3.125E-06,,
-1.563E-06,,
-0.0E+00,+9.934597790E+00,+209.148183E-03
+1.562E-06,+9.934597790E+00,+209.148183E-03
+3.125E-06,+9.934597790E+00,+209.148183E-03
+4.687E-06,+9.876708344E+00,+209.148183E-03
+6.250E-06,+9.876708344E+00,+230.856726E-03
+7.812E-06,+9.876708344E+00,+210.504967E-03
+9.375E-06,+9.930979700E+00,+209.148183E-03
+10.937E-06,+9.988869146E+00,+209.148183E-03
